method,budget,seed,attempted,scored,eligible_scored,successes,success_rate,coverage_rate,mean_absolute_delta
winner_xfg::winner_xfg_feature_mask,3,73,30,30,30,4,0.13333333333333333,1.0,0.1206186668460345
winner_xfg::winner_xfg_feature_mask,3,89,30,30,30,4,0.13333333333333333,1.0,0.12061866667531666
winner_xfg::winner_xfg_feature_mask,3,101,30,30,30,4,0.13333333333333333,1.0,0.12061867064895965
winner_xfg::winner_xfg_feature_mask,3,137,30,30,30,4,0.13333333333333333,1.0,0.12061866866211353
winner_xfg::winner_xfg_feature_mask,3,2026,30,30,30,4,0.13333333333333333,1.0,0.12061867095940051
winner_xfg::winner_xfg_feature_mask,5,7,30,30,30,4,0.13333333333333333,1.0,0.12604788223666577
winner_xfg::winner_xfg_feature_mask,5,17,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg::winner_xfg_feature_mask,5,29,30,30,30,4,0.13333333333333333,1.0,0.126047885216898
winner_xfg::winner_xfg_feature_mask,5,42,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg::winner_xfg_feature_mask,5,61,30,30,30,4,0.13333333333333333,1.0,0.12604788422348726
winner_xfg::winner_xfg_feature_mask,5,73,30,30,30,4,0.13333333333333333,1.0,0.1260478832300765
winner_xfg::winner_xfg_feature_mask,5,89,30,30,30,4,0.13333333333333333,1.0,0.12604788422347304
winner_xfg::winner_xfg_feature_mask,5,101,30,30,30,4,0.13333333333333333,1.0,0.12604788223666577
winner_xfg::winner_xfg_feature_mask,5,137,30,30,30,4,0.13333333333333333,1.0,0.126047885216898
winner_xfg::winner_xfg_feature_mask,5,2026,30,30,30,4,0.13333333333333333,1.0,0.1260478832300765
